                                                      The SAS System                    11:17 Monday, January 21, 2019   1

                                                   Obs    layer    temp

                                                    1       1       b  
                                                    2       2       b  
                                                    3       3       c  
                                                    4       4       b  
                                                    5       5       c  
                                                    6       6       c  
                                                    7       7       d  
                                                    8       8       b  
