                                                      The SAS System                     19:33 Saturday, June 27, 2020   1

                                        Obs    Age    Height    Weight        Fee

                                          4     43      63        137      149.75
                                          5     51      71        158      124.80
                                         10     49      64        172      124.80
                                         11     44      66        140      149.75
                                         14     40      69        163      124.80
                                         15     47      72        173      124.80
                                         16     60      71        191      149.75
                                         17     43      65        123      124.80
                                         20     41      67        141      149.75
                                         21     54      71        183      149.75
